Trading_Date,Daily_Total_PnL,Daily_Volume_USD,Trade_Count,Sentiment_Group
2023-03-28,0.0,477.0,3,Greed
2023-11-14,155.50335699999994,11555429.76,1045,Greed
2024-03-09,176965.491774,39406770.25,6962,Greed
2024-07-03,158742.378078,21843234.35,7141,Neutral
2024-10-27,3189461.032019,103947765.09,35241,Greed
2025-02-19,6699925.190574,704158492.98,133871,Fear
